aX,aY,aZ,gX,gY,gZ
1.071,-0.098,0.287,-5.249,-4.272,-8.301
1.051,-0.099,0.289,-4.272,-3.174,-8.484
1.027,-0.087,0.281,-2.991,-3.418,-9.216
1.014,-0.074,0.276,-1.709,-4.028,-10.376
1.007,-0.068,0.278,-1.343,-3.845,-10.315
1.017,-0.073,0.299,-1.282,-1.953,-8.850
1.001,-0.047,0.287,-0.671,0.610,-6.226
0.985,-0.038,0.266,-0.854,3.479,-4.578
0.969,-0.033,0.257,-1.709,5.371,-2.502
0.957,-0.023,0.249,-2.747,6.287,-0.610
0.960,-0.006,0.246,-2.930,6.348,0.732
0.963,0.012,0.247,-2.747,5.310,0.977
0.964,0.029,0.244,-2.930,4.211,-0.366
0.958,0.023,0.243,-2.686,2.686,-2.258
0.966,0.007,0.243,-1.404,1.648,-3.845
0.968,0.001,0.242,1.221,0.854,-5.432
0.961,0.007,0.234,3.906,0.549,-6.409
0.959,0.015,0.234,5.798,0.244,-7.629
0.975,0.034,0.240,5.920,0.244,-7.263
0.974,0.043,0.238,4.028,1.343,-6.409
0.964,0.018,0.234,1.709,3.296,-5.188
0.948,0.010,0.214,0.183,4.211,-4.089
0.935,0.001,0.207,0.183,3.113,-3.357
0.933,-0.006,0.219,0.183,1.587,-3.052
0.947,-0.015,0.247,0.244,0.244,-2.686
0.958,-0.010,0.263,1.221,0.610,-2.075
0.955,-0.012,0.266,2.197,1.465,-2.014

1.380,0.752,0.595,54.260,-40.405,80.383
1.443,0.777,0.621,56.030,-36.621,75.378
1.531,0.853,0.620,57.007,-33.997,71.167
1.589,0.933,0.617,58.044,-29.175,67.871
1.657,1.026,0.624,56.091,-23.499,65.796
1.726,1.134,0.637,53.467,-18.005,64.270
1.815,1.221,0.649,51.331,-12.695,62.012
1.790,1.260,0.722,47.363,-10.193,56.458
1.888,1.336,0.740,45.410,-7.996,45.898
1.851,1.369,0.744,44.800,5.127,41.382
1.859,1.350,0.737,38.025,13.977,30.396
1.781,1.289,0.725,33.752,25.330,20.142
1.687,1.242,0.690,31.006,32.776,8.728
1.598,1.194,0.657,29.480,38.757,-0.977
1.510,1.149,0.608,25.208,44.128,-8.057
1.413,1.079,0.569,18.860,49.072,-12.817
1.312,1.002,0.538,11.292,53.101,-15.930
1.255,0.943,0.511,6.653,57.617,-20.142
1.174,0.894,0.472,5.188,61.829,-25.146
1.081,0.852,0.419,3.235,65.063,-29.541
1.005,0.810,0.372,-0.671,67.932,-32.471
0.928,0.763,0.334,-5.737,69.824,-34.058
0.832,0.713,0.306,-10.071,70.190,-34.424
0.762,0.692,0.286,-12.268,67.688,-34.912
0.722,0.693,0.279,-13.855,63.965,-36.438
0.694,0.675,0.293,-15.991,61.584,-38.208
0.671,0.673,0.288,-18.555,60.303,-39.978
0.639,0.656,0.277,-20.508,61.035,-42.847
0.558,0.629,0.252,-22.217,62.073,-45.776
0.487,0.587,0.234,-24.658,62.927,-46.692
0.411,0.540,0.224,-26.794,61.829,-45.959
0.359,0.511,0.216,-27.222,59.204,-44.739
0.307,0.496,0.194,-26.306,54.688,-44.189
0.233,0.467,0.180,-25.330,49.622,-44.861
0.161,0.441,0.176,-24.475,44.006,-43.945
0.127,0.431,0.182,-24.414,37.598,-43.457
0.130,0.412,0.184,-23.315,31.433,-45.166
0.129,0.400,0.158,-23.437,28.564,-44.556
0.115,0.386,0.115,-26.672,27.954,-40.039
0.109,0.381,0.076,-31.799,28.015,-32.715
0.099,0.390,0.029,-36.255,26.733,-25.757
0.124,0.398,-0.014,-37.964,23.560,-22.095
0.138,0.407,-0.065,-37.537,17.578,-22.034
0.150,0.406,-0.096,-36.133,9.338,-23.010
0.202,0.404,-0.113,-35.706,0.549,-23.499
0.236,0.380,-0.103,-37.048,-6.409,-23.071
0.274,0.336,-0.074,-38.940,-12.085,-21.423
0.333,0.258,-0.021,-39.001,-15.625,-19.836
0.358,0.237,0.002,-36.682,-17.029,-17.578
0.359,0.256,-0.005,-34.180,-18.799,-15.320
0.381,0.253,-0.010,-35.156,-20.691,-13.550
0.401,0.235,-0.013,-39.612,-22.888,-9.888
0.469,0.220,-0.028,-44.617,-24.048,-4.883
0.511,0.212,-0.028,-47.546,-24.353,-0.793
0.540,0.216,-0.022,-48.523,-25.574,1.648
0.571,0.226,-0.006,-47.119,-28.748,1.465
0.616,0.212,0.008,-44.739,-32.043,-0.305
0.663,0.207,0.029,-42.542,-35.400,-2.197
0.703,0.220,0.047,-41.565,-38.208,-3.845
0.774,0.235,0.069,-41.931,-40.283,-6.348
0.821,0.249,0.090,-43.030,-41.748,-8.240
0.868,0.239,0.118,-45.105,-42.114,-9.094
0.913,0.233,0.144,-46.326,-42.603,-11.475
0.967,0.248,0.156,-45.898,-43.396,-15.076
1.017,0.241,0.182,-44.312,-44.312,-21.667
1.055,0.196,0.224,-41.687,-45.044,-29.419
1.101,0.151,0.248,-38.818,-44.373,-36.133
1.098,0.110,0.261,-37.231,-42.847,-41.565
1.075,0.078,0.278,-36.743,-42.175,-45.593
1.082,0.039,0.299,-37.903,-42.480,-48.035
1.113,-0.017,0.314,-38.086,-42.603,-49.866
1.164,-0.051,0.323,-36.926,-42.297,-51.514
1.204,-0.076,0.320,-35.645,-40.894,-52.673
1.207,-0.127,0.320,-34.363,-38.513,-54.321
1.186,-0.181,0.333,-31.982,-37.109,-56.396
1.180,-0.202,0.339,-28.809,-36.316,-58.167
1.179,-0.206,0.333,-27.344,-35.034,-59.204
1.157,-0.237,0.332,-28.320,-32.593,-57.678
1.179,-0.283,0.326,-30.579,-28.870,-53.711
1.194,-0.306,0.320,-32.166,-25.635,-49.438
1.205,-0.314,0.317,-31.250,-23.010,-45.349
1.194,-0.297,0.301,-29.419,-20.874,-41.931
1.168,-0.266,0.281,-28.442,-20.081,-38.574
1.151,-0.259,0.281,-29.236,-20.447,-35.645
1.162,-0.279,0.304,-29.541,-20.813,-33.386
1.183,-0.315,0.339,-26.978,-19.653,-32.471
1.165,-0.329,0.342,-21.423,-17.517,-31.738
1.166,-0.336,0.345,-16.418,-15.015,-30.884
1.159,-0.326,0.339,-12.878,-11.536,-29.236
1.131,-0.310,0.324,-11.475,-7.935,-26.245
1.098,-0.291,0.309,-10.925,-5.249,-22.888
1.076,-0.268,0.303,-10.437,-4.639,-20.508
1.074,-0.258,0.315,-9.949,-4.761,-17.883
1.079,-0.255,0.316,-9.460,-4.211,-15.869
1.057,-0.264,0.308,-7.935,-3.296,-14.771
1.033,-0.282,0.299,-4.639,-1.953,-11.902
0.988,-0.222,0.271,-3.906,-3.235,-11.780
1.007,-0.217,0.273,1.892,-4.639,-14.648
0.976,-0.158,0.240,2.502,-2.686,-8.423
0.993,-0.145,0.245,0.854,-2.258,-5.188
0.996,-0.141,0.259,-0.366,-0.916,-1.648
0.999,-0.128,0.265,0.183,0.305,1.526
0.995,-0.096,0.261,1.770,0.122,1.770
1.000,-0.073,0.266,3.235,0.366,0.977
0.998,-0.059,0.267,3.845,1.465,0.549
1.002,-0.049,0.273,3.784,3.357,1.282
0.997,-0.031,0.266,3.723,4.517,2.319
0.992,-0.014,0.248,3.601,5.371,2.930
0.988,-0.012,0.243,3.357,5.249,3.235
0.994,-0.010,0.251,3.296,4.211,3.052
1.001,0.003,0.250,4.150,3.540,1.831
0.998,0.013,0.247,4.639,3.906,0.732
0.993,0.031,0.239,4.028,4.333,0.122
0.980,0.021,0.245,2.380,5.005,0.366
0.966,0.006,0.249,0.610,6.042,1.526
0.964,-0.005,0.251,0.854,5.432,1.587
0.972,-0.006,0.260,2.747,3.967,0.427
0.985,0.015,0.258,4.639,2.563,-1.404
0.982,0.015,0.255,5.310,2.563,-2.991

1.255,0.795,0.574,66.467,-41.687,81.360
1.318,0.847,0.571,63.599,-36.987,79.712
1.371,0.900,0.591,60.730,-31.738,77.576
1.451,1.017,0.613,56.458,-27.405,76.782
1.524,1.148,0.632,52.124,-22.461,75.867
1.583,1.223,0.659,50.049,-18.250,70.740
1.636,1.265,0.684,49.866,-14.587,61.768
1.711,1.258,0.769,50.110,-11.536,50.720
1.675,1.315,0.700,48.401,-14.099,34.485
1.730,1.309,0.739,49.805,-3.052,29.419
1.696,1.336,0.711,42.236,6.653,24.597
1.670,1.309,0.713,33.020,15.625,18.127
1.617,1.286,0.688,24.475,24.658,12.268
1.573,1.207,0.680,18.677,31.250,3.845
1.499,1.125,0.657,16.968,36.804,-4.395
1.423,1.049,0.630,17.212,40.161,-12.817
1.356,0.980,0.606,17.395,43.396,-20.081
1.265,0.904,0.573,13.916,47.668,-23.987
1.184,0.857,0.527,8.057,53.040,-23.926
1.108,0.821,0.498,3.723,56.519,-24.780
1.028,0.775,0.466,0.122,57.373,-27.466
0.974,0.726,0.440,-3.723,56.580,-30.273
0.918,0.670,0.438,-6.531,55.542,-32.654
0.875,0.643,0.422,-10.315,55.664,-33.691
0.806,0.605,0.398,-14.282,56.641,-33.630
0.766,0.598,0.381,-17.090,58.960,-31.982
0.731,0.624,0.341,-19.287,60.547,-30.151
0.703,0.652,0.288,-20.935,61.096,-29.419
0.684,0.689,0.222,-22.644,60.852,-29.602
0.658,0.713,0.170,-25.513,59.631,-31.738
0.633,0.695,0.151,-28.564,57.800,-35.522
0.588,0.671,0.132,-31.067,55.542,-38.879
0.529,0.655,0.120,-34.302,53.101,-40.100
0.491,0.625,0.132,-36.865,51.331,-40.161
0.447,0.606,0.141,-38.086,49.194,-39.856
0.403,0.587,0.131,-37.598,45.532,-41.382
0.363,0.589,0.122,-34.729,40.649,-44.800
0.349,0.584,0.132,-30.884,34.485,-49.133
0.342,0.562,0.138,-28.381,29.480,-53.955
0.318,0.509,0.129,-28.687,27.100,-55.908
0.277,0.459,0.113,-32.593,26.611,-53.101
0.238,0.418,0.101,-35.522,24.353,-50.110
0.214,0.362,0.110,-35.095,20.386,-48.523
0.203,0.362,0.107,-32.593,14.893,-47.119
0.211,0.383,0.112,-30.518,9.277,-45.288
0.226,0.373,0.136,-30.029,3.967,-43.091
0.250,0.348,0.142,-32.043,0.732,-40.222
0.302,0.321,0.138,-33.813,2.014,-36.438
0.304,0.314,0.092,-35.889,3.967,-32.898
0.304,0.310,0.057,-37.292,5.554,-29.358
0.293,0.301,0.035,-37.598,4.517,-26.428
0.295,0.291,0.038,-38.635,0.977,-23.499
