aX,aY,aZ,gX,gY,gZ
0.907,-0.377,-0.128,5.127,-2.258,0.427
0.901,-0.375,-0.130,5.127,-2.686,0.671
0.910,-0.372,-0.129,4.272,-2.258,1.648
0.914,-0.372,-0.117,3.052,-1.343,2.502
0.920,-0.371,-0.116,2.136,-0.183,3.540
0.919,-0.362,-0.124,2.380,0.305,4.028
0.911,-0.358,-0.135,3.235,0.061,3.662
0.906,-0.355,-0.141,3.296,-0.549,2.686
0.909,-0.359,-0.141,3.601,-1.343,2.319
0.908,-0.354,-0.141,3.296,-2.380,2.014
0.912,-0.355,-0.140,3.052,-2.808,1.648

1.632,0.204,0.717,4.089,-66.895,-49.683
1.680,0.183,0.748,13.367,-73.486,-67.993
1.746,0.181,0.779,28.625,-52.612,-72.388
1.669,0.198,0.726,21.667,-40.039,-75.256
1.682,0.180,0.726,9.094,-21.667,-74.890
1.650,0.192,0.729,-0.977,-1.892,-69.580
1.645,0.203,0.734,-10.681,15.930,-65.125
1.650,0.234,0.742,-17.883,30.396,-62.439
1.655,0.265,0.751,-20.691,40.771,-62.988
1.611,0.276,0.722,-19.775,48.340,-68.787
1.581,0.251,0.703,-16.907,53.345,-78.125
1.498,0.241,0.645,-14.465,51.453,-89.844
1.427,0.212,0.587,-9.521,47.607,-101.868
1.369,0.184,0.538,-5.371,46.997,-109.375
1.325,0.178,0.503,-7.263,47.668,-111.328
1.310,0.148,0.506,-13.672,50.110,-111.023
1.310,0.093,0.539,-21.362,56.091,-109.436
1.288,0.059,0.568,-28.931,64.697,-105.103
1.263,0.009,0.598,-35.461,74.402,-101.440
1.207,-0.039,0.630,-39.429,83.679,-98.938
1.181,-0.062,0.659,-38.574,92.285,-97.046
1.146,-0.070,0.649,-33.630,97.351,-98.328
1.099,-0.075,0.601,-27.466,98.816,-103.210
1.055,-0.073,0.541,-21.423,98.816,-109.009
0.989,-0.100,0.472,-18.372,97.595,-114.502
0.908,-0.156,0.422,-21.057,98.022,-116.699
0.827,-0.211,0.375,-27.954,98.938,-113.708
0.792,-0.263,0.385,-34.180,100.647,-107.605
0.760,-0.295,0.409,-36.987,101.501,-102.173
0.748,-0.329,0.437,-36.560,100.037,-98.877
0.730,-0.368,0.445,-33.508,99.670,-97.473
0.677,-0.396,0.408,-28.809,100.098,-97.351
0.607,-0.429,0.340,-23.743,101.074,-95.093
0.543,-0.425,0.250,-22.644,103.027,-90.149
0.513,-0.410,0.176,-25.940,104.614,-83.496
0.508,-0.407,0.151,-32.288,104.919,-76.721
0.499,-0.414,0.155,-39.978,101.563,-72.021
0.504,-0.469,0.209,-44.006,98.022,-69.763
0.499,-0.528,0.259,-40.710,94.727,-68.420
0.483,-0.539,0.263,-33.508,90.271,-66.956
0.469,-0.530,0.235,-24.841,85.693,-66.528
